epoch_no,created,consumed,net_change,utxo_count_end,ordinary_created,collateral_return_created,ordinary_consumed,collateral_consumed
351,1198591,1165153,33438,8094727,1198591,0,1165153,0
352,1132335,1109165,23170,8117897,1132335,0,1109165,0
353,1031272,956547,74725,8192622,1031272,0,956547,0
354,1257731,1215667,42064,8234686,1257731,0,1215667,0
355,1078779,1053354,25425,8260111,1078779,0,1053354,0
356,1014735,958815,55920,8316031,1014735,0,958815,0
357,1083895,1046612,37283,8353314,1083895,0,1046612,0
358,1074382,1007204,67178,8420492,1074382,0,1007204,0
359,1002944,997278,5666,8426158,1002944,0,997278,0
360,1014087,1003120,10967,8437125,1014087,0,1003120,0
361,1036076,996512,39564,8476689,1036076,0,996512,0
362,933070,907918,25152,8501841,933070,0,907918,0
363,866573,845991,20582,8522423,866573,0,845991,0
364,993061,961281,31780,8554203,993061,0,961281,0
365,966857,990961,-24104,8530099,966857,0,990961,0
366,1094678,1026631,68047,8598146,1094678,0,1026631,0
367,1005191,972140,33051,8631197,1005191,0,972140,0
368,1023846,962929,60917,8692114,1023846,0,962929,0
369,1221324,1195791,25533,8717647,1221324,0,1195791,0
370,1466712,1367567,99145,8816792,1466712,0,1367567,0
371,1512836,1521186,-8350,8808442,1512836,0,1521186,0
372,1331142,1288054,43088,8851530,1331142,0,1288054,0
373,1297615,1224853,72762,8924292,1297615,0,1224853,0
374,1136802,1154123,-17321,8906971,1136802,0,1154123,0
375,1177561,1010859,166702,9073673,1177561,0,1010859,0
376,1155871,1051455,104416,9178089,1155871,0,1051455,0
377,1287280,1213007,74273,9252362,1287280,0,1213007,0
378,1036772,990799,45973,9298335,1036772,0,990799,0
379,1048630,969841,78789,9377124,1048630,0,969841,0
380,1021943,988799,33144,9410268,1021943,0,988799,0
381,1262831,1178130,84701,9494969,1262831,0,1178130,0
382,1117012,1092805,24207,9519176,1117012,0,1092805,0
383,998886,984720,14166,9533342,998886,0,984720,0
384,1054863,1053028,1835,9535177,1054863,0,1053028,0
385,1164460,1134490,29970,9565147,1164460,0,1134490,0
386,1316099,1269437,46662,9611809,1316099,0,1269437,0
387,1198466,1124664,73802,9685611,1198466,0,1124664,0
388,1078565,1148503,-69938,9615673,1078565,0,1148503,0
389,1033600,980585,53015,9668688,1033600,0,980585,0
390,1068975,1056189,12786,9681474,1068975,0,1056189,0
391,1322145,1350410,-28265,9653209,1322145,0,1350410,0
392,1207113,1179328,27785,9680994,1207113,0,1179328,0
393,1038122,973280,64842,9745836,1038122,0,973280,0
394,905109,880647,24462,9770298,905109,0,880647,0
395,877137,839291,37846,9808144,877137,0,839291,0
396,930965,877900,53065,9861209,930965,0,877900,0
397,878257,849068,29189,9890398,878257,0,849068,0
398,883944,859477,24467,9914865,883944,0,859477,0
399,945738,1049104,-103366,9811499,945738,0,1049104,0
400,1026638,1004867,21771,9833270,1026638,0,1004867,0
401,938995,892507,46488,9879758,938995,0,892507,0
402,787820,760243,27577,9907335,787820,0,760243,0
403,878752,891365,-12613,9894722,878752,0,891365,0
404,793841,744793,49048,9943770,793841,0,744793,0
405,889018,855933,33085,9976855,889018,0,855933,0
406,819732,841097,-21365,9955490,819732,0,841097,0
407,811121,862708,-51587,9903903,811121,0,862708,0
408,779899,812735,-32836,9871067,779899,0,812735,0
409,980157,1053577,-73420,9797647,980157,0,1053577,0
410,1230171,1192500,37671,9835318,1230171,0,1192500,0
411,1008843,969393,39450,9874768,1008843,0,969393,0
412,1035239,997539,37700,9912468,1035239,0,997539,0
413,1309664,1305264,4400,9916868,1309664,0,1305264,0
414,1406852,1373636,33216,9950084,1406852,0,1373636,0
415,1505298,1486451,18847,9968931,1505298,0,1486451,0
416,1397506,1391731,5775,9974706,1397506,0,1391731,0
417,1189764,1138221,51543,10026249,1189764,0,1138221,0
418,1072143,1073391,-1248,10025001,1072143,0,1073391,0
419,1147906,1102926,44980,10069981,1147906,0,1102926,0
420,1253900,1237137,16763,10086744,1253900,0,1237137,0
421,1210103,1167452,42651,10129395,1210103,0,1167452,0
422,1293512,1245075,48437,10177832,1293512,0,1245075,0
423,1412789,1388906,23883,10201715,1412789,0,1388906,0
424,1153029,1154626,-1597,10200118,1153029,0,1154626,0
425,1182977,1147078,35899,10236017,1182977,0,1147078,0
426,1140132,1102720,37412,10273429,1140132,0,1102720,0
427,1035742,1032956,2786,10276215,1035742,0,1032956,0
428,1111876,1052450,59426,10335641,1111876,0,1052450,0
429,875401,921755,-46354,10289287,875401,0,921755,0
430,859699,835633,24066,10313353,859699,0,835633,0
431,804390,784907,19483,10332836,804390,0,784907,0
432,756529,719835,36694,10369530,756529,0,719835,0
433,940074,921480,18594,10388124,940074,0,921480,0
434,778537,799071,-20534,10367590,778537,0,799071,0
435,788319,767469,20850,10388440,788319,0,767469,0
436,750466,715143,35323,10423763,750466,0,715143,0
437,757177,706057,51120,10474883,757177,0,706057,0
438,904710,867389,37321,10512204,904710,0,867389,0
439,942494,984934,-42440,10469764,942494,0,984934,0
440,886386,874246,12140,10481904,886386,0,874246,0
441,877422,865365,12057,10493961,877422,0,865365,0
442,957739,990905,-33166,10460795,957739,0,990905,0
443,862030,826603,35427,10496222,862030,0,826603,0
444,969751,1005009,-35258,10460964,969751,0,1005009,0
445,919735,886899,32836,10493800,919735,0,886899,0
446,969885,953610,16275,10510075,969885,0,953610,0
447,970767,977993,-7226,10502849,970767,0,977993,0
448,981163,962834,18329,10521178,981163,0,962834,0
449,957495,971528,-14033,10507145,957495,0,971528,0
450,879377,843333,36044,10543189,879377,0,843333,0
451,1031252,1082545,-51293,10491896,1031252,0,1082545,0
452,1142625,1140854,1771,10493667,1142625,0,1140854,0
453,1505292,1491986,13306,10506973,1505292,0,1491986,0
454,1479810,1392502,87308,10594281,1479810,0,1392502,0
455,1484271,1430288,53983,10648264,1484271,0,1430288,0
456,1394163,1319710,74453,10722717,1394163,0,1319710,0
457,1519357,1518473,884,10723601,1519357,0,1518473,0
458,1424977,1388289,36688,10760289,1424977,0,1388289,0
459,1486186,1425285,60901,10821190,1486186,0,1425285,0
460,1415079,1391026,24053,10845243,1415079,0,1391026,0
461,1272723,1215488,57235,10902478,1272723,0,1215488,0
462,1199718,1159281,40437,10942915,1199718,0,1159281,0
463,1121055,1078476,42579,10985494,1121055,0,1078476,0
464,1168296,1102949,65347,11050841,1168296,0,1102949,0
465,1174405,1139467,34938,11085779,1174405,0,1139467,0
466,1153728,1147258,6470,11092249,1153728,0,1147258,0
467,1114368,1055239,59129,11151378,1114368,0,1055239,0
468,1097633,1128785,-31152,11120226,1097633,0,1128785,0
469,1136472,1135851,621,11120847,1136472,0,1135851,0
470,1226554,1227093,-539,11120308,1226554,0,1227093,0
471,1195225,1177954,17271,11137579,1195225,0,1177954,0
472,1164247,1171382,-7135,11130444,1164247,0,1171382,0
473,990007,957336,32671,11163115,990007,0,957336,0
474,795944,803447,-7503,11155612,795944,0,803447,0
475,887588,893481,-5893,11149719,887588,0,893481,0
476,906983,939923,-32940,11116779,906983,0,939923,0
477,840523,827853,12670,11129449,840523,0,827853,0
478,844100,823364,20736,11150185,844100,0,823364,0
479,806898,807781,-883,11149302,806898,0,807781,0
480,729622,711522,18100,11167402,729622,0,711522,0
481,668595,660961,7634,11175036,668595,0,660961,0
482,690095,677797,12298,11187334,690095,0,677797,0
483,672913,678730,-5817,11181517,672913,0,678730,0
484,690284,708681,-18397,11163120,690284,0,708681,0
485,762483,766425,-3942,11159178,762483,0,766425,0
486,731647,737178,-5531,11153647,731647,0,737178,0
487,627926,618802,9124,11162771,627926,0,618802,0
488,644818,664911,-20093,11142678,644818,0,664911,0
489,706591,738298,-31707,11110971,706591,0,738298,0
490,629360,643356,-13996,11096975,629360,0,643356,0
491,652582,641367,11215,11108190,652582,0,641367,0
492,1221259,1227899,-6640,11101550,1221259,0,1227899,0
493,1182062,1156322,25740,11127290,1182062,0,1156322,0
494,913890,912202,1688,11128978,913890,0,912202,0
495,755726,733706,22020,11150998,755726,0,733706,0
496,852036,904008,-51972,11099026,852036,0,904008,0
497,773187,767903,5284,11104310,773187,0,767903,0
498,708715,677792,30923,11135233,708715,0,677792,0
499,636927,662772,-25845,11109388,636927,0,662772,0
500,705013,699438,5575,11114963,705013,0,699438,0
501,686358,685480,878,11115841,686358,0,685480,0
502,577600,575124,2476,11118317,577600,0,575124,0
503,533987,513110,20877,11139194,533987,0,513110,0
504,535207,541541,-6334,11132860,535207,0,541541,0
505,634776,631701,3075,11135935,634776,0,631701,0
506,650638,646392,4246,11140181,650638,0,646392,0
507,937031,891284,45747,11185928,937031,0,891284,0
508,785409,742656,42753,11228681,785409,0,742656,0
509,619383,627604,-8221,11220460,619383,0,627604,0
510,546171,528508,17663,11238123,546171,0,528508,0
511,556246,548804,7442,11245565,556246,0,548804,0
512,593783,615616,-21833,11223732,593783,0,615616,0
513,482568,466816,15752,11239484,482568,0,466816,0
514,517970,541474,-23504,11215980,517970,0,541474,0
515,527508,533777,-6269,11209711,527508,0,533777,0
516,576400,580043,-3643,11206068,576400,0,580043,0
517,579817,560205,19612,11225680,579817,0,560205,0
518,634679,617918,16761,11242441,634679,0,617918,0
519,628285,655916,-27631,11214810,628285,0,655916,0
520,1017714,1033627,-15913,11198897,1017714,0,1033627,0
521,1029942,1068617,-38675,11160222,1029942,0,1068617,0
522,1506781,1515926,-9145,11151077,1506781,0,1515926,0
523,1699679,1716198,-16519,11134558,1699679,0,1716198,0
524,1488568,1474671,13897,11148455,1488568,0,1474671,0
525,1766746,1871924,-105178,11043277,1766746,0,1871924,0
526,1601484,1569240,32244,11075521,1601484,0,1569240,0
527,1361898,1307501,54397,11129918,1361898,0,1307501,0
528,1117999,1166585,-48586,11081332,1117999,0,1166585,0
529,1206731,1154255,52476,11133808,1206731,0,1154255,0
530,903912,870998,32914,11166722,903912,0,870998,0
531,887489,895643,-8154,11158568,887489,0,895643,0
532,753495,804625,-51130,11107438,753495,0,804625,0
533,837736,798502,39234,11146672,837736,0,798502,0
534,1123847,1108396,15451,11162123,1123847,0,1108396,0
535,875894,985318,-109424,11052699,875894,0,985318,0
